iter	Passed	Remaining
167	423	2095
168	424	2087
169	425	2078
170	427	2070
171	428	2061
172	429	2053
173	431	2046
174	432	2038
175	433	2029
176	434	2019
177	435	2009
178	436	2000
179	437	1991
180	438	1984
181	439	1976
182	440	1968
183	442	1960
184	443	1953
185	444	1945
186	445	1937
187	446	1929
188	448	1922
189	449	1914
190	450	1906
191	451	1898
192	452	1891
193	453	1883
194	454	1876
195	456	1871
196	457	1863
197	458	1856
198	459	1849
199	460	1842
200	461	1836
201	462	1828
202	464	1822
203	465	1815
204	466	1809
205	467	1803
206	469	1796
207	470	1789
208	471	1783
209	472	1777
210	473	1770
211	474	1764
212	475	1758
213	477	1752
214	478	1747
215	479	1742
216	481	1736
217	482	1729
218	483	1723
219	484	1717
220	486	1713
221	487	1707
222	488	1702
223	489	1696
224	490	1690
225	491	1684
226	492	1678
227	494	1672
228	494	1666
229	495	1660
230	497	1654
231	498	1649
232	499	1643
233	500	1638
234	501	1633
235	502	1627
236	504	1625
237	506	1620
238	507	1616
239	508	1610
240	509	1605
241	510	1600
242	511	1594
243	512	1588
244	514	1584
245	516	1583
246	517	1578
247	518	1572
248	519	1567
249	520	1561
250	522	1560
251	524	1555
252	525	1550
253	526	1545
254	527	1540
255	528	1534
256	532	1538
257	533	1533
258	534	1527
259	535	1522
260	536	1518
261	537	1513
262	538	1509
263	539	1504
264	540	1499
265	541	1494
266	542	1489
267	544	1488
268	546	1483
269	546	1478
270	547	1473
271	548	1468
272	549	1463
273	550	1459
274	551	1454
275	552	1450
276	554	1446
277	554	1441
278	555	1436
279	556	1432
280	557	1427
281	558	1423
282	560	1418
283	561	1415
284	562	1411
285	563	1407
286	565	1404
287	566	1400
288	567	1396
289	568	1392
290	569	1388
291	571	1384
292	572	1381
293	573	1377
294	575	1374
295	576	1370
296	577	1366
297	578	1362
298	579	1357
299	580	1353
300	581	1349
301	582	1346
302	583	1342
303	584	1338
304	585	1334
305	586	1330
306	588	1327
307	589	1324
308	590	1321
309	592	1317
310	593	1313
311	593	1309
312	594	1305
313	596	1302
314	597	1299
315	598	1295
316	599	1291
317	600	1288
318	601	1284
319	602	1280
320	603	1276
321	604	1273
322	605	1269
323	606	1266
324	607	1262
325	608	1258
326	609	1254
327	610	1251
328	612	1248
329	613	1245
330	614	1242
331	615	1238
332	616	1235
333	618	1232
334	619	1228
335	620	1225
336	621	1221
337	621	1218
338	622	1214
339	623	1210
340	624	1206
341	625	1202
342	626	1199
343	627	1195
344	627	1191
345	628	1188
346	629	1185
347	630	1181
348	631	1178
349	632	1175
350	634	1172
351	635	1169
352	636	1166
353	637	1163
354	638	1160
355	639	1157
356	640	1154
357	642	1151
358	643	1148
359	644	1145
360	645	1142
361	646	1139
362	647	1136
363	648	1133
364	649	1130
365	651	1127
366	652	1125
367	653	1122
368	654	1119
369	655	1116
370	656	1113
371	657	1110
372	659	1108
373	660	1105
374	661	1102
375	662	1100
376	664	1097
377	665	1094
378	666	1091
379	667	1088
380	668	1085
381	669	1082
382	670	1079
383	671	1077
384	673	1075
385	674	1072
386	675	1069
387	676	1066
388	676	1063
389	678	1060
390	679	1057
391	680	1054
392	681	1052
393	682	1050
394	683	1047
395	684	1043
396	685	1040
397	686	1038
398	687	1036
399	688	1033
400	690	1030
401	691	1028
402	692	1025
403	693	1022
404	694	1019
405	695	1017
406	696	1014
407	697	1012
408	698	1009
409	699	1006
410	700	1004
411	701	1001
412	703	999
413	704	996
414	705	994
415	706	991
416	707	989
417	708	986
418	709	983
419	710	981
420	711	979
421	712	976
422	713	973
423	714	970
424	715	968
425	716	965
426	718	963
427	719	960
428	719	958
429	720	955
430	721	953
431	722	950
432	723	947
433	724	945
434	725	942
435	726	940
436	727	937
437	728	934
438	729	931
439	729	928
440	730	926
441	731	923
442	732	921
443	733	918
444	734	915
445	734	912
446	735	910
447	736	907
448	737	904
449	738	902
450	739	899
451	739	897
452	740	894
453	741	891
454	742	889
455	743	886
456	743	883
457	744	881
458	745	878
459	746	876
460	747	873
461	748	871
